business_id,business_name,business_address,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,violation_id,violation_description,risk_category
"69181","Cha-Ya Restaurant","762 Valencia St","94110","37.760777","-122.421505","(37.760777, -122.421505)","14155257825","69181_20180719","7/19/18","89","69181_20180719_103105","Improper cooling methods","High Risk"
"7689","UNOCAL 76  PACIFIC ENTERPRISES","999 OCEAN Ave","94112","37.723133","-122.452707","(37.723133, -122.452707)","14155588296","7689_20160811","8/11/16","98","7689_20160811_103148","No thermometers or uncalibrated thermometers","Low Risk"
"5913","ST CHARLES SCHOOL","3250 18th St","94110","37.762074","-122.416107","(37.762074, -122.416107)","14155867652","5913_20160906","9/6/16","92","5913_20160906_103131","Moderate risk vermin infestation","Moderate Risk"
"2755","SOCIALE","3665 SACRAMENTO St","94118","37.787364","-122.45299","(37.787364, -122.45299)","14155920309","2755_20180816","8/16/18","88","2755_20180816_103131","Moderate risk vermin infestation","Moderate Risk"
"68944","Peet's Coffee and Tea","1630 Holloway Ave","94132","37.720877","-122.477651","(37.720877, -122.477651)","14155374525","68944_20160928","9/28/16","100","","",""
"5219","SALVATION ARMY GATEWAY","407 09th St","94103","37.772473","-122.409879","(37.772473, -122.409879)","14155256100","5219_20170803","8/3/17","78","5219_20170803_103105","Improper cooling methods","High Risk"
"59002","Yummy Bakery & Restaurant","607 Jackson St","94133","37.796152","-122.405255","(37.796152, -122.405255)","14155988388","59002_20170814","8/14/17","94","59002_20170814_103161","Low risk vermin infestation","Low Risk"
"62064","California Grocery","123 Eddy St","94102","37.784303","-122.409647","(37.784303, -122.409647)","14155448608","62064_20160819","8/19/16","86","62064_20160819_103157","Food safety certificate or food handler card not available","Low Risk"
"13814","Go Go Market & Deli","99 09th St","94103","37.774722","-122.406761","(37.774722, -122.406761)","14155863536","13814_20160930","9/30/16","82","13814_20160930_103124","Inadequately cleaned or sanitized food contact surfaces","Moderate Risk"
"2061","ATAMI SUSHI BAR & GRILL","1662 LOMBARD St","94123","37.800788","-122.428894","(37.800788, -122.428894)","14155611958","2061_20170606","6/6/17","100","","",""
"68773","Nopalito","1224 9th Ave","94122","37.765412","-122.466375","(37.765412, -122.466375)","14155430303","68773_20160823","8/23/16","90","68773_20160823_103154","Unclean or degraded floors walls or ceilings","Low Risk"
"63082","The Brick Yard","1787 Union St","94123","37.797933","-122.428627","(37.797933, -122.428627)","14156677676","63082_20170824","8/24/17","78","63082_20170824_103116","Inadequate food safety knowledge or lack of certified food safety manager","Moderate Risk"
"4685","NORMAN'S LIQUOR & DELI","733 Randolph St","94132","37.714204","-122.469193","(37.714204, -122.469193)","14155580088","4685_20170615","6/15/17","87","4685_20170615_103156","Permit license or inspection report not posted","Low Risk"
"1005","CHAVITA'S MEXICAN RESTAURANT","3006 MISSION St","94110","37.748855","-122.418134","(37.748855, -122.418134)","14155286927","1005_20180919","9/19/18","86","1005_20180919_103136","Unsanitary employee garments hair or nails","Low Risk"
"64805","Andersen Bread","1390 Market St Suite 110","94102","37.777053","-122.416939","(37.777053, -122.416939)","14150427100","64805_20160412","4/12/16","88","64805_20160412_103120","Moderate risk food holding temperature","Moderate Risk"
"999","SERRANO'S PIZZA II","3274 21st St","94110","37.756997","-122.420534","(37.756997, -122.420534)","14155691615","999_20170714","7/14/17","77","999_20170714_103156","Permit license or inspection report not posted","Low Risk"
"4874","JUMP START COFFEE & GROCERY","1192 GUERRERO St","94110","37.752118","-122.422914","(37.752118, -122.422914)","14155647555","4874_20170815","8/15/17","88","4874_20170815_103142","Unclean nonfood contact surfaces","Low Risk"
"1641","MARTHA & BROS. COFFEE CO","1551 Church St","94131","37.745974","-122.426856","(37.745974, -122.426856)","14155641166","1641_20160812","8/12/16","84","1641_20160812_103145","Improper storage of equipment utensils or linens","Low Risk"
"5033","DESTINATION BAKING COMPANY","598 Chenery St","94131","37.734619","-122.432379","(37.734619, -122.432379)","14155460730","5033_20180803","8/3/18","83","5033_20180803_103136","Unsanitary employee garments hair or nails","Low Risk"
"5853","RAOUL WALLENBERG HIGH SCHOOL","40 VEGA St","94115","37.780133","-122.445864","(37.780133, -122.445864)","14155743469","5853_20180912","9/12/18","94","5853_20180912_103131","Moderate risk vermin infestation","Moderate Risk"
"4797","Good Life Grocery, The","448 CORTLAND Ave","94110","37.739053","-122.416683","(37.739053, -122.416683)","14155643221","4797_20160908","9/8/16","90","4797_20160908_103142","Unclean nonfood contact surfaces","Low Risk"
"19416","Starbucks","865 Market St C26","94103","37.784317","-122.407563","(37.784317, -122.407563)","14155604908","19416_20180718","7/18/18","96","19416_20180718_103154","Unclean or degraded floors walls or ceilings","Low Risk"
"5813","LICK MIDDLE SCHOOL","1220 Noe St","94114","37.74949","-122.43175","(37.74949, -122.43175)","14155816139","5813_20160916","9/16/16","98","5813_20160916_103153","Inadequate dressing rooms or improper storage of personal items","Low Risk"
"61856","Yoppi Yogurt","101 California St","94111","37.793424","-122.398168","(37.793424, -122.398168)","14155264677","61856_20170616","6/16/17","94","61856_20170616_103156","Permit license or inspection report not posted","Low Risk"
"4804","SUBWAY #31419","2599 SAN BRUNO Ave","94134","37.728933","-122.40413","(37.728933, -122.40413)","14150540880","4804_20161206","12/6/16","86","4804_20161206_103150","Improper or defective plumbing","Low Risk"
